name,description,x,y
27041299,,1357,4385
27041737,,1453,4285
27064136,,1405,2601
27041757,,0,0
27041847,,1508,3372
27046091,,1405,2651
27064660,,1732,4278
27043231,,1508,4311
27065367,,1799,4090
27042767,,1611,3969
27041169,,1508,3950
27046875,,1611,3850
27065013,,1615,4360
27043299,,1615,4663
27044628,,1850,4195
27041711,,1405,2413
27064668,,1405,2457
27042210,,1611,3550
27041753,,1615,4623
27047549,,1615,4488
27041780,,1405,2514
27065019,,1405,2562
27043194,,1508,3470
27040823,,0,0
27064481,,1615,4554
27042913,,1179,4553
27041770,,1276,4470
27041684,,1405,2359
27064532,,1611,3650
27064920,,0,0
27064137,,1615,4427
27065480,,1615,4291
27042538,,1838,4254
27064974,,1405,2950
27065344,,1405,2720
27064845,,1502,3578
27064423,,1615,4749
27041786,,1405,2244
27043099,,1508,3690
27064755,,1405,3000
27064949,,1930,4195
27045056,,1405,2304
27064841,,1221,4352
27042283,,1753,4403
27065020,,1405,2186
27064968,,1508,3800
27042956,,1780,4195
27065036,,1711,4195
27065446,,1164,4405
27041857,,1308,4288
27065056,,1838,4300
27041744,,1789,4354
27065448,,1900,4195
27064737,,1405,2880
27064710,,1405,2800
27041745,,1094,4477
27064296,,1380,4229
27064290,,0,0
27065143,,1872,4523
27045314,,1881,4424
